office,office_type,office_district,total_votes,winner,winner_party,winner_percent,winner_margin,vep2020,vep2022,vep2024,vep total voters,vep % of margin,vep won race
U. S. REPRESENTATIVE DISTRICT 10,CD,10,118280,MICHAEL T. MCCAUL,R,65.16,102949,4439,6068,9909,20416,19.83,
U. S. REPRESENTATIVE DISTRICT 12,CD,12,215564,CRAIG GOLDMAN,R,63.45,91410,5025,4712,1214,10951,11.98,
U. S. REPRESENTATIVE DISTRICT 14,CD,14,95875,RANDY WEBER,R,68.69,114445,2467,3026,3349,8842,7.73,
U. S. REPRESENTATIVE DISTRICT 15,CD,15,95965,MONICA DE LA CRUZ,R,57.11,31839,1605,2134,851,4590,14.42,
U. S. REPRESENTATIVE DISTRICT 16,CD,16,89281,VERONICA ESCOBAR,D,59.54,42110,821,837,868,2526,,
U. S. REPRESENTATIVE DISTRICT 17,CD,17,97941,PETE SESSIONS,R,66.35,95160,3631,4284,2557,10472,11.0,
U. S. REPRESENTATIVE DISTRICT 18,CD,18,151834,SYLVESTER TURNER,D,69.44,85024,1984,1186,644,3814,,
U. S. REPRESENTATIVE DISTRICT 19,CD,19,27461,JODEY C. ARRINGTON,R,88.67,187489,2529,3891,1447,7867,4.2,
U. S. REPRESENTATIVE DISTRICT 2,CD,2,112252,DAN CRENSHAW,R,65.66,102379,4372,3622,1049,9043,8.83,
U. S. REPRESENTATIVE DISTRICT 21,CD,21,153765,CHIP ROY,R,63.17,109979,4605,7890,13067,25562,23.24,
U. S. REPRESENTATIVE DISTRICT 22,CD,22,127604,TROY E. NEHLS,R,62.12,81681,4172,3061,4713,11946,14.63,
U. S. REPRESENTATIVE DISTRICT 23,CD,23,109373,TONY GONZALES,R,62.3,71347,1871,2872,8774,13517,18.95,
U. S. REPRESENTATIVE DISTRICT 24,CD,24,149518,BETH VAN DUYNE,R,60.3,77590,3268,3448,919,7635,9.84,
U. S. REPRESENTATIVE DISTRICT 25,CD,25,1661,ROGER WILLIAMS,R,99.37,261381,5769,6451,1543,13763,5.27,
U. S. REPRESENTATIVE DISTRICT 26,CD,26,241096,BRANDON GILL,R,63.5,102538,5317,6027,1283,12627,12.31,
U. S. REPRESENTATIVE DISTRICT 27,CD,27,94596,MICHAEL CLOUD,R,66.04,89384,2927,3446,5466,11839,13.25,
U. S. REPRESENTATIVE DISTRICT 28,CD,28,112117,HENRY CUELLAR,D,52.81,13373,1765,1954,5310,9029,,
U. S. REPRESENTATIVE DISTRICT 29,CD,29,52830,SYLVIA GARCIA,D,65.29,46549,1237,544,542,2323,,
U. S. REPRESENTATIVE DISTRICT 3,CD,3,142953,KEITH SELF,R,62.45,94841,4421,5161,16595,26177,27.6,Over 25%
U. S. REPRESENTATIVE DISTRICT 30,CD,30,35175,JASMINE CROCKETT,D,84.89,162475,1935,1325,1106,4366,,
U. S. REPRESENTATIVE DISTRICT 31,CD,31,126470,JOHN CARTER,R,64.43,102617,4896,6180,8374,19450,18.95,
U. S. REPRESENTATIVE DISTRICT 32,CD,32,140536,JULIE JOHNSON,D,62.05,54595,1724,1612,2740,6076,,
U. S. REPRESENTATIVE DISTRICT 33,CD,33,51864,MARC VEASEY,D,68.79,62425,1584,1006,756,3346,,
U. S. REPRESENTATIVE DISTRICT 34,CD,34,97603,VICENTE GONZALEZ,D,51.29,5177,914,915,4407,6236,,
U. S. REPRESENTATIVE DISTRICT 35,CD,35,82610,GREG CASAR,D,67.36,87899,3470,4566,6214,14250,,
U. S. REPRESENTATIVE DISTRICT 36,CD,36,91009,BRIAN BABIN,R,69.36,115000,3285,3070,2267,8622,7.5,
U. S. REPRESENTATIVE DISTRICT 37,CD,37,80366,LLOYD DOGGETT,D,75.89,172614,7264,10637,2245,20146,,
U. S. REPRESENTATIVE DISTRICT 38,CD,38,127640,WESLEY P. HUNT,R,62.75,87390,2815,2140,772,5727,6.55,
U. S. REPRESENTATIVE DISTRICT 4,CD,4,111696,PAT FALLON,R,68.38,129907,4657,5983,8030,18670,14.37,
U. S. REPRESENTATIVE DISTRICT 5,CD,5,107712,LANCE GOODEN,R,64.08,84473,4029,4844,981,9854,11.67,
U. S. REPRESENTATIVE DISTRICT 6,CD,6,98319,JAKE ELLZEY,R,65.68,89800,3938,4388,3230,11556,12.87,
U. S. REPRESENTATIVE DISTRICT 7,CD,7,94651,LIZZIE FLETCHER,D,61.28,55169,2106,1163,797,4066,,
U. S. REPRESENTATIVE DISTRICT 8,CD,8,108754,MORGAN LUTTRELL,R,68.22,124669,5165,5477,1161,11803,9.47,
